rating,title,text,location,num_contributions,date
4,Pequena e charmosa,"Praia com acesso pelo Caminho das Cabeçudas (orla de praias de Itajaí), praia pequena, continuação da Praia do Atalaia. Praia pequena, porém um charme. Ali próximo fica um dos pontos turísticos mais interessantes de Itajaí, o Bico do Papagaio, uma formação rochosa que é muito visitada e onde você pode visualizar as praias e a cidade.","Itajaí, SC",292,5 de fevereiro de 2020
1,Péssima,"Fui ate esta praia me baseando nos comentários. Sinceramente...mal existe praia neste local..uma pequena faixa de areia batida e escura água suja, deserta, o local mal tem lugar para estacionar. Não vi beleza alguma..só perdi meu tempo indo ate la e acabei indo para outro lugar...pena que nao tenho fotos..nem perdi tempo tirando.",,11,13 de dezembro de 2018
4,Linda praia para fotografar e curtir.,"Tirei fotos lindas nesta praia, pois o dia estava lindo, com muito sol. Fácil acesso, inclusive de bike. Chamei um carro de aplicativo para voltar ao hotel, no bairro Fazenda, e ele levou menos de 5 minutos para chegar.","Florianópolis, SC",82,26 de outubro de 2018
5,Perfeita,"Lugar maravilhoso para quem não sabe nadar, faixo de areia pequeno, contudo, otina sugestão para dar um mergulho apos uma corrida ou pedala.",,7,21 de setembro de 2018
4,Amo SC,"para quem gosta de algo mais sossegado, com uma vista maravilhosa e pra quem é fã de fotografia essa vista será muito bem aproveitada!",,9,12 de junho de 2018
4,Ok,"A praia é bonita, mas todas as praias da região são iguais, então sugiro que escolha uma pra curtir, não tem necessidade de ir em todas","São Paulo, SP",149,5 de julho de 2017
5,LOCAL LEGAL,"Praia boa, local oferece infra estrutura, e também pode fazer um tour pela região porque as praias são perto uma das outras e do bico do papagaio também.","Guaramirim, SC",165,14 de fevereiro de 2017
2,Praia pequena de areia batida,Pequena praia de areia preta com algumas pedras e cercada por costões com casas. Na maré alta a praia não tem areia e em dias de ressaca o banho não é recomendado.,"Itajaí, SC",312,22 de setembro de 2016
5,Praia linda,"Praia linda, entretanto, um pouco abandonada, acesso um pouco difícil e sem estacionamneto, mas vale a pena caminhar um pouco e chegar até lá...","Itajaí, SC",99,30 de agosto de 2016
4,Praia tranquila,"Praia bem tranquila, limpa e com poucas ondas é apropriado para quem tem crianças pequenas... local de fácil acesso...",,51,24 de agosto de 2016
4,Boa pra quem curte Futebol,Local bom pra curtir com os amigos e jogar um futebol! Depois é só cair na água! Muito bom para curtir com a galera!,"Itajaí, SC",110,7 de julho de 2016
4,tranquilo,"praia tranquila .para aproveitar um dia de sol ,pois esta localizada ao lado da praia da atalaia local de facil acesso","Itajaí, SC",29,2 de julho de 2016
5,Linda,"A praia de gerências é uma excelente escolha para famílias que possuem crianças, pois ela possui águas calmas e limpas","Navegantes, SC",31,27 de abril de 2016
4,PRAIA SOSSEGADA,"É uma praia com fácil acesso, porém não há muitas opções por perto para estacionar na temporada. Sempre vamos no verão por ser mais tranquila, menos disputada e não ter muitas ondas, praticamente nenhuma, muito segura. Bem próxima do molhe, com espaço limitado mas nunca está muito cheia. Amo essa praia.","Itajaí, SC",6,24 de abril de 2016
3,Praia pouco frequentada,A Praia do Geremias é uma pequena praia com acesso por escada. Não é possível estacionar carro neste local.,,96,22 de abril de 2016
5,Paradise,"lugar tranquilo e lindo, a vista é de tirar o folego, sou muito suspeita para falar de praia pq simplesmente amo!","Itajaí, SC",27,8 de abril de 2016
4,Um lindo nascer do sol,"A praia do Geremias tem um lindo nascer do sol, pois entra em contraste com o farol, vale a pena acordar às 5:30.","Itajaí, SC",28,2 de abril de 2016
5,Praia da infância,"Passei parte de minha infância nessa praia...afinal, era e é uma praia segura...lamentável que hoje está restrito o acesso, pois edificaram casas no entorno dela, mesmo assim não perde seu encanto. Quando a maré está baixa, e possível passar pelo costão em direção a prainha antes de Cabeçudas...aventura sem igual onde fiz uma vez...foi tremendo.",,6,23 de março de 2016
