rating,title,text,location,num_contributions,date
1,Esgoto sendo jogado no mar…,"Infelizmente, sem condições de entrar no mar aqui, no máximo colocar os pés. Você anda pela faixa de areia e vê o esgoto sendo lançado na água. Muito triste, muito mesmo… quando fomos, tinha muita gente na água, mas de verdade, não recomendo, nem com crianças, além do esgoto, encontramos caravelas-portuguesas na areia.",,4,8 de março de 2026
2,Decepção,"A praia é calma porém um cheiro horrível de esgoto e bem suja, na minha opinião Penha deixa a desejar como cidade já que possui um dos parques mais importantes de SC, poderia ser bem melhor a estrutura, o plano diretor e principalmente o saneamento básico.",,2,3 de março de 2025
2,ESGOTO A CÉU ABERTO,"Infelizmente a única coisa boa é a paisagem. Praia extremamente poluída. Muitas saídas de esgoto direto na praia. A cada 100 metros esgoto fétido sendo despejado. Eu e minha família ficamos 9 dias no Vivenda Por do Sol e todos tiveram diarreia e vômito. Jamais retornarei a esta praia enquanto existir tanto esgoto sendo despejado. Evite, principalmente se possui crianças","Joinville, SC",212,8 de janeiro de 2025
5,Casa de Itapocoróy…,"Bairro pacato é tranquilo, ideal para família com crianças… São 19 praias e o parque Beto Carrero World! Lugar encantador","Penha, SC",21,23 de outubro de 2024
4,Praia do Trapiche,"Eu frequentava muito essa praia quando era criança,  é triste ver o descaso que isso virou. Muito lixo,falta de respeito de quem frequenta o local, pessoas meio suspeitas, da medo. O local tem um por do sol incrível mas foi abandonado pela prefeitura faz tempo. É bem comum ver tartarugas, legal para andar de caiaque no verão.","Gaspar, SC",1,21 de julho de 2024
3,"Só fui pro bloco de carnaval, entrar nessa água nem pensar","Eu não sei quem são essas pessoas nos comentários, mas dizer que a água é limpa é uma mentira, são 50 anos de esgotos sem tratamento.",,1,16 de fevereiro de 2024
3,Tem mais lixo do que areia,"Ponto positivo: Praia tranquila, sem ondas, vi o sol se pondo e foi lindo, principalmente com o trapiche de fundo e vários barcos no mar e o céu alaranjado espelhado no mar, incrível e maravilhosamente lindo. Ponto negativo: Por ser praia de pescador o cheiro ao redor é pouco agradável, água é imprópria pra banho o que inválida o ponto positivo de ser uma praia sem ondas pois quem tem o mínimo de bom senso, não vai se banhar nessa água poluída nem praticar stand UP paddel, só para os corajosos mesmo. Mas o que mais me decepcionou foi a quantidade de lixo, sério, horrível, sacolas, sacos, cordas, garrafas, vidros, cigarros, plásticos, embalagens, brinquedos, roupas, na areia, na rua, nas calçadas, lixeiras transbordando, horrível, quase não frequento Penha, e essa praia foi a primeira vez, e infelizmente será a última, falo infelizmente porque o hotel que fiquei foi muito bom, a estrutura a beira mar é boa, praia é tranquila, por do sol é lindo, mas água poluída e lixo pra todo lado não dá, SC tem lugares sensacionais muito melhores, bonitos, limpos, bem cuidados mesmo em alta temporada.","Timbó, SC",1,23 de janeiro de 2024
3,Praia dos principais restaurantes de Penha,"Praia que serve de fundo para os quiosques e restaurantes da orla. Não é própria pra banho, mas a vista é linda.","Resende, RJ",1,24 de outubro de 2023
4,Reduto de pescadores!,"O que faz uma praia ser boa para uns e ruim para outros depende das expectativas e experiências de cada um. Esta praia conta com suaves ondas, tem um visual lindo com seus barquinhos, pois é reduto de pescadores e conta com uma boa infraestrutura para passar o dia.","Farroupilha, RS",34,25 de agosto de 2023
5,Foi um passeio muito legal vi muitas tartarugas marinhas,Realizamos um passeio guiado com a equipe Penha Escola de Surf Sup e Caiaques que nos levou a um passeio com observação de tartarugas marinhas de caiaques e stand up paddle muito lindo.. recomendo muito,,4,23 de maio de 2023
4,Praia bonita para passar um pouco de tempo,"Praia bem tranquila, ambiente calmo porem sem estruturas para poder aproveitar melhor o local. Estivemos apenas em um ponto da praia então não posso afirmar que em toda sua extensão seja da mesma forma. Foi um momento tranquilo em família ( Fomos eu, minha esposa e meu filho de 8 anos ) ficamos 1 hora.","Londrina, PR",20,4 de março de 2023
5,Praia muito tranquila...,"Estive em fevereiro, com 3 crianças e mais 2 amigas e foi ótimo. Praia limpa, com movimento só no domingo, mais de famílias, Gostei muito. Me surpreendeu a água quentinha.","Goiânia, GO",10,9 de fevereiro de 2023
4,Vale entrar no mar,"Hospedados em Penha para ir ao Beto Carrero World, tiramos um dia para ir a uma praia da região.  Rodamos rodas e achamos essa não tão cheia e o mar muito tranquilo, gostoso de ficar, sendo que a água estava morna hoje, muito boa. Não levamos guarda-sol e cadeiras, mas tivemos sorte de o tempo estar nublado e sem chuva, então pudemos curtir só com as cangas na areia, por 1:30h. Valeu o banho de mar!","Osasco, SP",30,22 de janeiro de 2023
5,Diversão,"O park Beto carreiro word, foi o ápice da viagem uma pena que devido ao ciclone que passou pela região alguns brinquedos estavam sem funcionar, porém os que estavam funcionando fizeram valer muito a pena a viagem.","Ribeirão das Neves, MG",1,17 de agosto de 2022
5,"Linda praia, muito bem conservada, quase sem ondas.","Me hospedei em Penha num local bem próximo á praia de armação, e confesso que devido aos comentários sobre outras praias da região, fiquei receosa referente á essa praia não ser tão boa como as outras, mas afirmo, em penha, próximo á av. Itapocoroy, não há praia melhor. É uma praia quase sem ondas, com água super limpa, onde podiam ser avistadas algumas tartarugas marinhas nadando, com vista para vários barcos. É realmente um lugar paradísiaco, sem dúvidas a melhor praia de Penha.",,125,4 de março de 2022
5,Praia da Armação do Itapocorói,"Com aproximadamente 800 metros de extensão, essa praia é conhecida como uma das mais tranquilas e aconchegantes da cidade. De visual simples, é reduto de pescadores da região, sendo que muitos vivem da pesca no local. Perfeita para uma caminhada pela orla.","Balneário Camboriú, SC",56,3 de fevereiro de 2022
2,Paisagem bonita; água suja.,"Praia com belas vistas, bares e restaurantes agradáveis na orla, mas quase sempre imprópria para banho.",,4,6 de janeiro de 2022
4,Praia,"Lugar bacana, praia limpa e legal de se conhecer. Bem pertinho da cidade, onde tem de tudo perto. Bem legal para se fazer caminhada de manha.","Itapeva, SP",29,6 de julho de 2021
4,CALMARIA SEMPRE,"Todas as vezes que me hospedo em Penha, essa praia sempre é muito calma, com um por do sol magnífico. Vale a pena.","Ribeirão Pires, SP",143,12 de junho de 2021
4,Armação do Itapocoroi,"Entre as praias de Penha essa é a parte com maior ""agito"". Na alta temporada tem música ao vivo na praia (às vezes), restaurantes especializados em frutos do mar, vários vendedores, aluguel de stand UP e caiaque. O lado ruim é o aglomero de gente se jogando do trapiche e quem vai na água tem que nadar em meio aos barcos.","Gaspar, SC",28,10 de janeiro de 2021
1,Praia suja,"Praia suja, esgoto indo direto pro mar. Mar agitado! Água escura. Infra estrutura zero, cheia de sujeiras por tda parte, acho que é pior praia de SC! Fica um alerta para administração pq deviam limpar e arrumar este saneamento, um descaso!!! Nunca mais volto!","Passo Fundo, RS",3,8 de fevereiro de 2020
3,praia não indico para crianças,"Esta praia não tem estrutura para crianças, viajei com as minhas crianças e porem senti falta de estrutura para crinaças",,8,3 de fevereiro de 2020
4,Para pintar,"Pontos altos de Itapocoroy é a agitação, pois oferece muitas opções, tanto para lanchar, comer ou petiscar tomando uma gelada embaixo de uma amendoeira. De fácil acesso, com muitos estacionamentos pela orla e principalmente com um cenário típico daqueles pintados pelos artistas de rua, que é a praia com seus barquinhos e um pier. Porém como nem tudo é perfeito está praia é considerada impropria para banho.","Nilópolis, RJ",414,9 de janeiro de 2020
5,Totalmente linda com os barcos de pesca,"Paisagem incrível, com os barcos dos pescadores ao fundo. Sem atrações extras, mas vale a visita, recomendo.","Boituva, SP",202,25 de dezembro de 2019
5,Melhor das praias destes lados!!!,"Vc pode se divertir sem levar aqueles ""caldos"" que fazem vc nem querer mais entrar na água, pq ali as ondas são gentis, eu me diverti muito ate em dias de chuva!!!",,14,8 de março de 2019
5,Super tranquila,Praia de águas tranquilas e com uma vibe super gostosa. Aproveitar o samba ao vivo em frente ao bar é uma ótima maneira de terminar o dia na praia.,"São Paulo, SP",163,6 de março de 2019
4,Mar calmo,"Excelente local para banho, ponto negativo; muitos caiaques próximos aos banhistas, o pessoal que aluga deveria orientar melhor os visitantes.","Curitiba, PR",25,4 de fevereiro de 2019
3,"Interessante para passear, nem tanto para banho","Também conhecida como Praia do Trapiche, é pequena, águas calmas, com restaurantes e petiscarias, vista panorâmica dos barcos de pesca artesanal, belo pôr do sol. No píer, pescadores se aglomeram na ponta e crianças e adolescentes usam como trampolim para mergulho. Tem um calçadão curto, um playground, um coreto que parece ter sido pintado recentemente e 2 ou 3 barracas de artesanato. Tem um farol. A vila de pescadores foi o berço da colonização açoriana da região. Uma quadra para dentro, fica a Igreja de São João Batista. Tem pousadas na região. É interessante para passear, para banho não recomendo. Quando visitei, parecia suja, convém verificar a balneabilidade antes.","Taubaté, SP",1,27 de janeiro de 2019
3,Só para apreciar,"Lindo visual, só para apreciar. Praia de pescadores, onde ficam ancorados os barcos. Local impróprio para banho. Decepcionada com o descaso da administração municipal, no quesito tratamento de esgoto.","Porto Alegre, RS",402,23 de janeiro de 2019
5,AS MELHORES POUSADAS!,"Nessa praia você encontra as melhores pousadas, e a opção de ficar próximo ao parque Beto Carrero Word.   A praia é de pescadores.... acredito que não própria pra banhistas....mas se quiser arriscar... boa sorte! rsrs, Nós fomos para as praias vizinhas.....Praia alegre....Praia grande...","Olinda, PE",37,22 de janeiro de 2019
5,Imprópria,"Apesar de ser imprópria para banho, a praia e lotada ! Da pra fazer stand  padle  e caiaque, lugar lindo ... próximo trapiche !","Curitiba, PR",62,1 de janeiro de 2019
3,Bonita praia,"A praia era bem próxima a pousada, fomos alguns dias jogar frescobol, porem a areia estava com muita sujeira.","Santa Bárbara d'Oeste, SP",257,19 de dezembro de 2018
5,Lindo para fotos,A praia tem um lindo visual o que enche os olhos de quem ama fotografias ao ar livre. É possível conseguir muitos cliques lindos além de aproveitar a praia que é muito gostosa e ainda dar uma passadinha no Beto Carrero que fica ali no ladinho!,"Itajaí, SC",505,22 de novembro de 2018
3,Praia agradável,Passada obrigatória para quem vai ao Beto Carrero (uma das praias mais próximas). Achei um pouco suja e os quiosques são bem caros.,"Arapongas, PR",82,23 de agosto de 2018
5,Histórica e Tranquila,"Esta região de Penha, reúne história e tranquilidade num belo binômio entre a natureza e intervenção do homem.","Florianópolis, SC",91,13 de julho de 2018
5,Bucólico!,"Visitar o Beto Carrero e não passear pela Armação para mim não faz sentido algum. Lugarejo muito sossegado, aconchegante e familiar! O contraste das cores das canoas na enseada ao nascer e por do sol são incríveis! Recomendo seja para um passeio no calçadão, uma remada de stand up, uma ida ao trapiche, uma visita a feira de artesanato ou ao Museu Oceanográfico Univali. A comida local também é uma atração a parte, com muitas opções de frutos do mar frescos! Vale a pena!",,14,9 de junho de 2018
3,Estreita faixa de areia,"A praia é ótima para caminhadas, aquele nascer do sol ou por do sol, é possível avistar barcos de pesca. quando visitei estava limpa. Pouca estrutura (banheiros e quiosques). Prevalência de moradores, visitantes do Beto Carrero e turistas em geral.","São Paulo, SP",174,3 de abril de 2018
3,"Ideal para um passeio, mas o mar ...","A praia é charmosa, tem uma estreita faixa de areia porém é uma praia onde ficam os barcos de pesca, ou seja, há um odor típico da atividade no ar, mas para um passeio na calçada é otimo",,41,15 de fevereiro de 2018
4,Passeio com Familia,"Típica região de pescadores. Praia não própria para o banho, apesar de algumas pessoas entrarem na praia. Calçada estreita e de vez em quando motos e carros passam muito perto. Local de belo visual.","São Paulo, SP",92,5 de janeiro de 2018
1,Porquinha,"Muito ruim. Água escura, fedorenta. Com um corregozinho duvidável. Não tem ondas, bem parado. Cheio de algas, de barquinhos e cheio de pessoas dentro e fora do mar. Sem infraestrutura nenhuma.",,228,30 de dezembro de 2017
5,Paraíso na terra.,"A foto é próximo a praia da paciência, uma praia de 100metros, ótima para crianças, bem calma. Paisagem linda.","Penha, SC",160,26 de dezembro de 2017
4,Linda praia sem atenção.,"A praia é linda mas não tem nenhuma atenção da prefeitura. Não se faz a limpeza da areia e não tem infraestrutura. Para fazer um lanche ou tomar uma bebida é preciso andar muito, portanto, leve comida e bebida. A natureza fez a sua parte.","Santa Terezinha de Itaipu, PR",23,8 de novembro de 2017
3,Bonita Praia,"Bonita praia com muitos barcos,  gostoso para  caminhar, quando fui o mar estava agitado,  mas  vale  o  passeio","Reserva, PR",86,21 de outubro de 2017
4,Para um belo fim de tarde,"A praia não é recomendável para banho, mas muitíssimo recomendável para um passeio e fotos no fim de tarde, ao pôr-do-sol. No local há um pequeno parquinho e um coreto para a criançada se divertir (com toda a segurança, tanto pela vizinhança hospitaleira quanto pela presença de um posto da PM no local)","Manaus, AM",100,24 de agosto de 2017
5,Linda,"A praia é uma graça. Bom para ficar olhando a paisagem, petiscar algo! Também tem um parquinho em frente!",,99,18 de agosto de 2017
